realisation,run_source,delta_v_kms,velocity_sigma_kms,velocity_direction_angle_rad,velocity_seed,stage1_fracture_scale_pc,archived_stage1_fracture_scale_pc,stage1_fracture_abs_error_pc,exact_spatial_reconstruction,stage1_groups,stage1_grouped_stars,forward_s2_first_significant_flags,forward_s2_first_accepted_splits,forward_s2_first_final_groups,forward_s2_first_orphans,forward_s2_first_grouped_stars,forward_s3_second_significant_flags,forward_s3_second_accepted_splits,forward_s3_second_final_groups,forward_s3_second_orphans,forward_s3_second_grouped_stars,forward_mean_completeness,forward_mean_purity,forward_mean_jaccard,forward_templates_detected_ge50pct,forward_strict_recoveries_of_8,forward_overlap_best_groups_separate,forward_formal_overlap_resolved,forward_strict_overlap_resolved,reverse_s3_first_significant_flags,reverse_s3_first_accepted_splits,reverse_s3_first_final_groups,reverse_s3_first_orphans,reverse_s3_first_grouped_stars,reverse_s2_second_significant_flags,reverse_s2_second_accepted_splits,reverse_s2_second_final_groups,reverse_s2_second_orphans,reverse_s2_second_grouped_stars,reverse_mean_completeness,reverse_mean_purity,reverse_mean_jaccard,reverse_templates_detected_ge50pct,reverse_strict_recoveries_of_8,reverse_overlap_best_groups_separate,reverse_formal_overlap_resolved,reverse_strict_overlap_resolved,delta_completeness_reverse_minus_forward,delta_purity_reverse_minus_forward,delta_jaccard_reverse_minus_forward,delta_strict_recoveries_reverse_minus_forward,delta_formal_overlap_reverse_minus_forward,delta_strict_overlap_reverse_minus_forward,same_retention_fraction,elapsed_seconds
10,mc_0010,5.0,1.0,5.714785923302727,20260835,17.027820392426293,17.027820392426293,0.0,True,102,2451,11,3,108,30,2421,0,0,108,0,2421,0.9288763661202186,0.8600619612013414,0.8039419324554868,7,7,True,False,False,1,1,103,23,2428,10,3,108,20,2408,0.9387700648907104,0.8796343360182493,0.8252598923155345,8,7,True,True,False,0.009893698770491732,0.019572374816907878,0.021317959860047697,0,1,0,0.9980976281065328,22.482001304626465
11,mc_0011,5.0,1.0,3.540579634198396,20260836,17.038393596540367,17.038393596540367,0.0,True,101,2394,12,4,107,27,2367,0,0,107,0,2367,0.9194095799180328,0.8839503162148656,0.8128501360900278,7,7,True,False,False,1,1,102,1,2393,11,3,107,8,2385,0.9420572916666667,0.8959184013212487,0.8379756929879153,8,7,True,True,False,0.022647711748633892,0.01196808510638303,0.025125556897887535,0,1,0,0.9991095280498664,21.975362062454224
12,mc_0012,5.0,1.0,0.6268795493003532,20260837,17.027820392426293,17.027820392426293,0.0,True,101,2399,11,4,108,35,2364,0,0,108,0,2364,0.9269232411202186,0.9280715572702334,0.8627753413158352,7,7,True,False,False,1,1,102,11,2388,9,2,104,10,2378,0.9986979166666667,0.9377298428529922,0.9364806318283763,8,8,True,True,True,0.07177467554644812,0.00965828558275883,0.07370529051254104,1,1,1,0.998704768072533,23.321182012557983
13,mc_0013,5.0,1.0,3.520276229882516,20260838,17.015217647302862,17.015217647302862,0.0,True,100,2427,11,3,104,39,2388,0,0,104,0,2388,0.9259199965846995,0.865812925031141,0.8028570888470962,7,7,True,False,False,1,1,102,26,2401,11,3,107,8,2393,0.9290044398907104,0.869287622991133,0.7995849744453585,7,7,True,False,False,0.0030844433060108756,0.0034746979599920014,-0.0032721144017376913,0,0,0,0.9984214360883996,22.754639863967896
14,mc_0014,5.0,1.0,0.9886276275548219,20260839,17.018295368341942,17.018295368341942,0.0,True,99,2460,14,6,108,109,2351,1,0,108,0,2351,0.9189458510364967,0.9337285262370152,0.8546636183139303,7,7,True,False,False,2,1,100,17,2443,12,5,107,78,2365,0.9375912574572618,0.9297297405850038,0.877111279323721,8,7,True,True,False,0.018645406420765065,-0.003998785652011394,0.022447661009790676,0,1,0,0.9983000080951996,23.15342092514038
15,mc_0015,5.0,1.0,4.2853403992109635,20260840,17.048388529750305,17.048388529750305,0.0,True,100,2431,10,4,107,70,2361,2,0,107,0,2361,0.9187585382513661,0.8631789529948072,0.7848283320860663,7,6,True,False,False,3,1,101,56,2375,9,3,106,9,2366,0.9380870047814207,0.864357702906059,0.807053298891966,8,6,True,True,False,0.0193284665300546,0.0011787499112517752,0.022224966805899693,0,1,0,0.9971262041609326,23.06312918663025
16,mc_0016,5.0,1.0,4.156599688540642,20260841,17.023194609192984,17.023194609192984,0.0,True,100,2486,12,5,108,120,2366,0,0,108,0,2366,0.9246179132513661,0.9025755642681277,0.8378477235318407,7,7,True,False,False,1,1,101,70,2416,11,4,108,41,2375,0.939421106557377,0.9004350085329188,0.848084594920129,8,7,True,True,False,0.014803193306010876,-0.002140555735208882,0.010236871388288327,0,1,0,0.9980166761110661,21.421735048294067
17,mc_0017,5.0,1.0,1.2400365498747543,20260842,16.897601390104445,16.897601390104445,0.0,True,96,2385,9,3,99,51,2334,0,0,99,0,2334,0.9179843265396543,0.8172586850018881,0.7375896493274177,7,7,True,False,False,1,1,97,12,2373,9,3,101,17,2356,0.937344811512332,0.8129345821723505,0.7557991555572284,8,7,True,True,False,0.019360484972677616,-0.004324102829537657,0.018209506229810768,0,1,0,0.9979762001133328,19.809021949768066
18,mc_0018,5.0,1.0,0.9801992095446961,20260843,16.832616083945528,16.832616083945528,0.0,True,96,2327,9,3,100,51,2276,0,0,100,0,2276,0.9212395348729877,0.8598573969697826,0.7827474806379284,7,6,True,False,False,1,1,97,28,2299,9,3,101,25,2274,0.9367257882882882,0.8499931543530789,0.787353418580721,8,6,True,True,False,0.015486253415300522,-0.009864242616703711,0.004605937942792626,0,1,0,0.9981381041042662,19.948819875717163
19,mc_0019,5.0,1.0,2.3405469589234884,20260844,17.027820392426293,17.027820392426293,0.0,True,102,2457,12,4,108,70,2387,0,0,108,0,2387,0.9187585382513661,0.8640831296568072,0.791124854966168,7,7,True,False,False,1,1,103,35,2422,9,1,104,2,2420,1.0,0.8699801372044966,0.8699801372044966,8,8,True,True,True,0.08124146174863389,0.0058970075476894035,0.0788552822383286,1,1,1,0.9976119161337327,21.161134004592896
