realisation,run_source,delta_v_kms,velocity_sigma_kms,velocity_direction_angle_rad,velocity_seed,stage1_fracture_scale_pc,archived_stage1_fracture_scale_pc,stage1_fracture_abs_error_pc,exact_spatial_reconstruction,stage1_groups,stage1_grouped_stars,forward_s2_first_significant_flags,forward_s2_first_accepted_splits,forward_s2_first_final_groups,forward_s2_first_orphans,forward_s2_first_grouped_stars,forward_s3_second_significant_flags,forward_s3_second_accepted_splits,forward_s3_second_final_groups,forward_s3_second_orphans,forward_s3_second_grouped_stars,forward_mean_completeness,forward_mean_purity,forward_mean_jaccard,forward_templates_detected_ge50pct,forward_strict_recoveries_of_8,forward_overlap_best_groups_separate,forward_formal_overlap_resolved,forward_strict_overlap_resolved,reverse_s3_first_significant_flags,reverse_s3_first_accepted_splits,reverse_s3_first_final_groups,reverse_s3_first_orphans,reverse_s3_first_grouped_stars,reverse_s2_second_significant_flags,reverse_s2_second_accepted_splits,reverse_s2_second_final_groups,reverse_s2_second_orphans,reverse_s2_second_grouped_stars,reverse_mean_completeness,reverse_mean_purity,reverse_mean_jaccard,reverse_templates_detected_ge50pct,reverse_strict_recoveries_of_8,reverse_overlap_best_groups_separate,reverse_formal_overlap_resolved,reverse_strict_overlap_resolved,delta_completeness_reverse_minus_forward,delta_purity_reverse_minus_forward,delta_jaccard_reverse_minus_forward,delta_strict_recoveries_reverse_minus_forward,delta_formal_overlap_reverse_minus_forward,delta_strict_overlap_reverse_minus_forward,same_retention_fraction,elapsed_seconds
222,mc_0222,5.0,1.0,0.38085805243176835,20261047,16.845794541725994,16.845794541725994,0.0,True,94,2365,10,2,99,60,2305,0,0,99,0,2305,0.9288763661202186,0.818518765440794,0.7678895648115934,7,7,True,False,False,1,1,95,47,2318,11,3,99,39,2279,0.937958931010929,0.8366150660137301,0.7782198404606798,8,7,True,True,False,0.009082564890710354,0.018096300572936097,0.010330275649086396,0,1,0,0.9973285841495992,20.613085746765137
223,mc_0223,5.0,1.0,0.5059120484247044,20261048,17.018295368341942,17.018295368341942,0.0,True,99,2495,12,4,104,106,2389,0,0,104,0,2389,0.9212986680327868,0.8743934884037821,0.8017290882547508,7,7,True,False,False,1,1,100,70,2425,12,4,106,22,2403,0.9407231898907104,0.8524768791292182,0.8069541367283433,8,7,True,True,False,0.019424521857923538,-0.021916609274563847,0.0052250484735925085,0,1,0,0.9975714401359993,22.077401876449585
224,mc_0224,5.0,1.0,4.791631522912502,20261049,16.82746389211387,16.82746389211387,0.0,True,96,2365,13,6,103,105,2260,1,0,103,0,2260,0.8686723999341498,0.9263757917632227,0.8104419040493551,7,6,True,False,False,2,1,97,46,2319,11,6,105,56,2263,0.8867628200161171,0.9367093307732324,0.8324796169223543,8,6,True,True,False,0.018090420081967262,0.010333539010009662,0.02203771287299916,0,1,0,0.9973690601473326,23.059830904006958
225,mc_0225,5.0,1.0,1.7755976403479343,20261050,17.048388529750305,17.048388529750305,0.0,True,102,2383,8,2,105,19,2364,0,0,105,0,2364,0.9301784494535519,0.9114396809436855,0.8467099267504301,7,7,True,False,False,1,1,103,7,2376,9,3,108,7,2369,0.9386419911202186,0.9180186283121066,0.8566606194323252,8,7,True,True,False,0.00846354166666674,0.006578947368421018,0.00995069268189508,0,1,0,0.9991500040475998,24.27510905265808
226,mc_0226,5.0,1.0,0.2529911273304378,20261051,17.048388529750305,17.048388529750305,0.0,True,99,2443,14,7,110,108,2335,0,0,110,0,2335,0.8775994667117862,0.928471420534253,0.8060708872460393,7,6,True,False,False,1,1,102,14,2429,12,5,110,45,2384,0.9159895794167043,0.9205481670921316,0.8407869741001465,8,7,True,True,False,0.0383901127049181,-0.007923253442121414,0.03471608685410721,1,1,0,0.9979357241155995,24.834062099456787
227,mc_0227,5.0,1.0,2.045015659891393,20261052,16.823775898177065,16.823775898177065,0.0,True,96,2323,9,3,100,56,2267,0,0,100,0,2267,0.9179843265396543,0.9021617187530344,0.8322955143148172,7,7,True,False,False,1,1,97,30,2293,7,1,98,2,2291,0.993985436512332,0.8992906075222331,0.8943995195265865,8,8,True,True,True,0.07600110997267762,-0.0028711112308013043,0.062104005211769286,1,1,1,0.9980571521087995,21.690253973007202
228,mc_0228,5.0,1.0,6.050901819971508,20261053,17.027820392426293,17.027820392426293,0.0,True,101,2437,9,3,104,78,2359,1,0,104,0,2359,0.9226647882513661,0.8726862381616186,0.809711739402825,7,7,True,False,False,2,1,102,35,2402,9,3,107,17,2385,0.9420572916666667,0.8799077506528834,0.826050117639159,8,7,True,True,False,0.019392503415300633,0.007221512491264792,0.016338378236333995,0,1,0,0.9977333441269327,23.541969299316406
229,mc_0229,5.0,1.0,2.1516557360614548,20261054,17.027820392426293,17.027820392426293,0.0,True,100,2407,10,4,107,53,2354,0,0,107,0,2354,0.9187585382513661,0.9019539650401737,0.8238349908085505,7,7,True,False,False,1,1,101,24,2383,7,1,102,2,2381,0.9986979166666667,0.9003434682716438,0.8993158635641325,8,8,True,True,True,0.07993937841530063,-0.0016104967685298677,0.07548087275558202,1,1,1,0.9976928681291994,23.747465133666992
230,mc_0230,5.0,1.0,3.753010125861641,20261055,17.048388529750305,17.048388529750305,0.0,True,102,2386,11,4,108,37,2349,0,0,108,0,2349,0.9194095799180328,0.8977672560641292,0.8171768359821621,7,7,True,False,False,1,1,103,5,2381,10,3,108,7,2374,0.939421106557377,0.8977672560641292,0.8371883626215063,8,7,True,True,False,0.020011526639344135,0.0,0.020011526639344246,0,1,0,0.9987452440702663,24.64953112602234
231,mc_0231,5.0,1.0,1.5892769390402945,20261056,16.85484258107372,16.85484258107372,0.0,True,96,2355,9,4,103,106,2249,1,0,103,0,2249,0.9147291182063211,0.9308920014288775,0.8473229962176614,7,7,True,False,False,2,1,97,51,2304,6,1,98,2,2302,0.990474080638015,0.9032134300003061,0.8945748463617225,8,8,True,True,True,0.07574496243169393,-0.02767857142857144,0.04725185014406108,1,1,1,0.996478588197199,22.947856903076172
232,mc_0232,5.0,1.0,0.9079060623006825,20261057,17.040104933363203,17.040104933363203,0.0,True,102,2462,11,4,108,88,2374,0,0,108,0,2374,0.922728825136612,0.8997739782726231,0.8251555982103178,7,7,True,False,False,1,1,103,53,2409,9,3,108,19,2390,0.9368489583333334,0.8969994166183444,0.837636656362727,7,7,True,False,False,0.01412013319672134,-0.0027745616542786955,0.012481058152409186,0,0,0,0.9982190560997328,22.29088807106018
233,mc_0233,5.0,1.0,2.2182915257830347,20261058,16.84314791384103,16.84314791384103,0.0,True,95,2370,10,5,100,117,2253,0,0,100,0,2253,0.9192864098729877,0.9270268504643504,0.8531087644190772,7,7,True,False,False,1,1,96,21,2349,10,5,102,81,2268,0.937312793069709,0.9218187484780405,0.8675664242195842,8,7,True,True,False,0.01802638319672134,-0.005208101986309943,0.01445765980050695,0,1,0,0.9976928681291994,19.775398015975952
234,mc_0234,5.0,1.0,2.293532904376952,20261059,17.027820392426293,17.027820392426293,0.0,True,102,2394,9,3,105,40,2354,0,0,105,0,2354,0.9226647882513661,0.9037882010522827,0.8275230211176897,7,7,True,False,False,1,1,103,4,2390,9,3,108,9,2381,0.9406911714480874,0.9027808750449567,0.8451616865887732,8,7,True,True,False,0.01802638319672134,-0.0010073260073260037,0.017638665471083503,0,1,0,0.9987452440702663,20.71456003189087
235,mc_0235,5.0,1.0,3.5230896407247236,20261060,17.027820392426293,17.027820392426293,0.0,True,101,2460,16,6,110,109,2351,0,0,110,0,2351,0.874684809275831,0.886637321012321,0.7629825827682766,7,6,True,False,False,1,1,102,28,2432,14,5,110,46,2386,0.8946963359151752,0.8764223093400554,0.7807572992133519,8,6,True,True,False,0.020011526639344135,-0.010215011672265573,0.017774716445075334,0,1,0,0.9976928681291994,21.51712989807129
236,mc_0236,5.0,1.0,5.2347027232772065,20261061,17.043204459850088,17.043204459850088,0.0,True,101,2410,10,4,108,34,2376,1,0,108,0,2376,0.9288763661202186,0.8930577840084372,0.8304083609385808,7,7,True,False,False,2,1,102,19,2391,10,4,108,15,2376,0.94140625,0.9043950726063641,0.8475205682447463,8,7,True,True,False,0.012529883879781378,0.011337288597926931,0.017112207306165472,0,1,0,0.998704768072533,22.365604877471924
237,mc_0237,5.0,1.0,3.251342356095634,20261062,17.027820392426293,17.027820392426293,0.0,True,101,2477,9,3,104,47,2430,1,1,105,34,2396,0.9669261698372009,0.8897662395217213,0.8629539712134269,8,7,True,True,True,1,1,102,34,2443,11,5,108,63,2380,0.9102855448372009,0.8880201236211174,0.8100688774276664,8,6,True,True,False,-0.056640625,-0.0017461159006039173,-0.05288509378576045,-1,0,-1,0.9993523840362665,23.453269004821777
238,mc_0238,5.0,1.0,3.705813913133724,20261063,17.018295368341942,17.018295368341942,0.0,True,100,2406,11,5,108,57,2349,0,0,108,0,2349,0.9213627049180328,0.9204183217524862,0.8428259922070316,7,7,True,False,False,1,1,101,21,2385,10,4,107,29,2356,0.9386740095628415,0.9218577231659898,0.8631409285375929,8,7,True,True,False,0.017311304644808678,0.001439401413503627,0.02031493633056136,0,1,0,0.9987452440702663,24.322048902511597
239,mc_0239,5.0,1.0,0.1259859510864109,20261064,16.880122455459485,16.880122455459485,0.0,True,97,2362,13,6,104,99,2263,0,0,104,0,2263,0.8071127669066269,0.9136520093501843,0.7271279680740592,6,5,True,False,False,1,1,98,17,2345,13,6,106,72,2273,0.8257901917700149,0.9110556289354569,0.7434774371546207,7,5,True,True,False,0.01867742486338797,-0.0025963804147274283,0.016349469080561452,0,1,0,0.9981381041042662,24.63208794593811
240,mc_0240,5.0,1.0,2.331827791345857,20261065,17.043204459850088,17.043204459850088,0.0,True,100,2430,14,7,110,90,2340,0,0,110,0,2340,0.8694466116458615,0.9179370272459815,0.7987891400402456,7,6,True,False,False,1,1,101,14,2416,11,4,106,52,2364,0.9479878513999599,0.9294247087793567,0.8776449530100086,8,7,True,True,True,0.07854123975409844,0.011487681533375205,0.07885581296976296,1,1,1,0.9983809600906662,24.48414897918701
241,mc_0241,5.0,1.0,6.017716938838055,20261066,16.997499186116222,16.997499186116222,0.0,True,98,2440,9,3,102,77,2363,0,0,102,0,2363,0.9226647882513661,0.8900503500568093,0.833138619324004,7,7,True,False,False,1,1,99,55,2385,9,3,103,31,2354,0.9407552083333333,0.8880217586732702,0.8414369318141346,8,7,True,True,False,0.01809042008196715,-0.002028591383539169,0.008298312490130577,0,1,0,0.9970452521654659,23.22677779197693
242,mc_0242,5.0,1.0,1.4233521513372263,20261067,16.914287329772122,16.914287329772122,0.0,True,97,2413,12,5,108,108,2305,1,0,108,0,2305,0.868761397390585,0.91217159953573,0.7883227425973107,7,6,True,False,False,2,1,99,79,2334,9,2,102,24,2310,0.9447945258058856,0.8966444041132773,0.8435572397518063,8,7,True,True,True,0.07603312841530063,-0.015527195422452733,0.055234497154495577,1,1,1,0.9970452521654659,24.01991295814514
243,mc_0243,5.0,1.0,1.4957814879630391,20261068,17.044626788618505,17.044626788618505,0.0,True,101,2442,11,3,104,59,2383,0,0,104,0,2383,0.9226647882513661,0.8725892767349195,0.8014975917424256,7,7,True,False,False,1,1,102,19,2423,11,3,107,20,2403,0.9401041666666667,0.8767302192969668,0.8194735600985601,8,7,True,True,False,0.017439378415300633,0.004140942562047334,0.017975968356134464,0,1,0,0.9985428640815996,23.708636045455933
244,mc_0244,5.0,1.0,0.9723313161436843,20261069,17.048388529750305,17.048388529750305,0.0,True,102,2421,11,4,108,41,2380,1,0,108,0,2380,0.9213627049180328,0.8502473204006887,0.7728417680111304,7,7,True,False,False,2,1,103,10,2411,10,3,107,13,2398,0.941374231557377,0.8473267379777958,0.7904195957938973,8,7,True,True,False,0.020011526639344135,-0.0029205824228929478,0.017577827782766953,0,1,0,0.9983000080951996,25.802068948745728
245,mc_0245,5.0,1.0,5.3174411127207994,20261070,17.027820392426293,17.027820392426293,0.0,True,100,2381,12,5,107,42,2339,1,0,107,0,2339,0.9194095799180328,0.9324058150695889,0.8519394913118249,7,7,True,False,False,2,1,101,1,2380,11,4,107,12,2368,0.9420572916666667,0.9324705148625495,0.8745278065292161,8,7,True,True,False,0.022647711748633892,6.469979296064299e-05,0.02258831521739124,0,1,0,0.998826196065733,24.85837697982788
246,mc_0246,5.0,1.0,3.978434312001129,20261071,17.044626788618505,17.044626788618505,0.0,True,100,2402,12,5,108,59,2343,1,0,108,0,2343,0.8973325210244649,0.9210165178285279,0.8183490388529928,8,6,True,True,False,1,0,100,0,2402,12,5,108,59,2343,0.8973325210244649,0.9210165178285279,0.8183490388529928,8,6,True,True,False,0.0,0.0,0.0,0,0,0,1.0,24.240357160568237
247,mc_0247,5.0,1.0,0.3304712060977067,20261072,17.048388529750305,17.048388529750305,0.0,True,101,2391,11,5,109,47,2344,0,0,109,0,2344,0.9120566387415623,0.9352019836646777,0.8475471993754891,7,7,True,False,False,1,1,102,6,2385,10,4,108,18,2367,0.9326551701623272,0.9289468565112732,0.8644841160980705,8,7,True,True,False,0.020598531420764954,-0.006255127153404483,0.016936916722581463,0,1,0,0.998826196065733,23.80753469467163
248,mc_0248,5.0,1.0,2.3873388713016213,20261073,16.852157323094623,16.852157323094623,0.0,True,97,2314,8,2,100,57,2257,1,0,100,0,2257,0.9254979877418401,0.9345029113736789,0.8656467047518435,7,7,True,False,False,1,1,98,23,2291,9,3,102,12,2279,0.937344811512332,0.9280040902117515,0.8714451633487159,8,7,True,True,False,0.011846823770491843,-0.006498821161927459,0.005798458596872447,0,1,0,0.9983809600906662,19.62111806869507
249,mc_0249,5.0,1.0,4.528348604726679,20261074,17.018295368341942,17.018295368341942,0.0,True,97,2500,12,5,104,126,2374,2,0,104,0,2374,0.9194095799180328,0.8299542464962668,0.7843053313005759,7,7,True,False,False,3,1,98,89,2411,11,4,104,17,2394,0.94140625,0.8439350406932423,0.7989896801511562,8,7,True,True,False,0.02199667008196715,0.01398079419697551,0.014684348850580342,0,1,0,0.9973285841495992,20.566102981567383
250,mc_0250,5.0,1.0,1.2732921084167694,20261075,17.043204459850088,17.043204459850088,0.0,True,101,2428,13,5,108,59,2369,0,0,108,0,2369,0.9194095799180328,0.8853848152097941,0.8060511687610894,7,7,True,False,False,1,1,102,14,2414,9,2,104,17,2397,0.9967127732240437,0.8865165538959476,0.8833591969290013,8,8,True,True,True,0.07730319330601088,0.0011317386861535716,0.07730802816791194,1,1,1,0.9983000080951996,21.145438194274902
251,mc_0251,5.0,1.0,1.1446873648867064,20261076,17.06087606119076,17.06087606119076,0.0,True,102,2372,10,4,108,39,2333,1,0,108,0,2333,0.9194095799180328,0.936831630424322,0.8562412103423549,7,7,True,False,False,1,1,103,5,2367,9,3,107,17,2350,0.9407552083333333,0.9356061402282436,0.8772461381963428,8,7,True,True,False,0.02134562841530041,-0.001225490196078427,0.021004927853987887,0,1,0,0.9982595320974662,21.103568077087402
252,mc_0252,5.0,1.0,0.09762877775042555,20261077,17.048388529750305,17.048388529750305,0.0,True,102,2409,13,5,109,64,2345,0,0,109,0,2345,0.8907398551473906,0.8772463348497879,0.7679861899971784,7,6,True,False,False,1,1,103,8,2401,12,4,109,28,2373,0.9107193633441119,0.8741323371969552,0.7866158861885136,8,6,True,True,False,0.01997950819672123,-0.003113997652832712,0.018629696191335254,0,1,0,0.9985428640815996,21.537292957305908
253,mc_0253,5.0,1.0,5.6406860057050645,20261078,17.018295368341942,17.018295368341942,0.0,True,99,2475,11,3,104,91,2384,1,0,104,0,2384,0.9226647882513661,0.8798505873291926,0.8046287076065561,7,7,True,False,False,2,1,101,49,2426,10,3,106,13,2413,0.94140625,0.8470010290814425,0.8048383306687441,8,7,True,True,False,0.018741461748633892,-0.032849558247750155,0.0002096230621879691,0,1,0,0.9976119161337327,20.397302865982056
254,mc_0254,5.0,1.0,0.9517466761501627,20261079,17.021367376690897,17.021367376690897,0.0,True,101,2524,14,4,106,91,2433,1,0,106,0,2433,0.9023159510420637,0.8743214732542413,0.7931623935150431,7,7,True,False,False,2,1,102,74,2450,13,4,108,25,2425,0.9176421122442495,0.8622172307395277,0.7954597145669973,8,7,True,True,False,0.015326161202185773,-0.012104242514713537,0.0022973210519541265,0,1,0,0.9962762082085324,20.66791319847107
255,mc_0255,5.0,1.0,0.9710841806698762,20261080,16.830611544331223,16.830611544331223,0.0,True,95,2368,10,5,102,63,2305,0,0,102,0,2305,0.907958905898425,0.9104108377453617,0.838793224659615,7,7,True,False,False,1,1,96,38,2330,10,5,102,43,2287,0.9266683492044359,0.9155031334999688,0.8526469096730122,8,7,True,True,False,0.018709443306010876,0.0050922957546071235,0.013853685013397121,0,1,0,0.9968428721767991,20.305711030960083
256,mc_0256,5.0,1.0,2.58746215664821,20261081,17.044626788618505,17.044626788618505,0.0,True,102,2431,9,3,106,43,2388,1,1,107,11,2377,0.9226647882513661,0.920474489161485,0.8456186363361224,7,7,True,False,False,1,1,103,32,2399,9,3,108,9,2390,0.9407231898907104,0.9118246825605604,0.8567852416681818,8,7,True,True,False,0.018058401639344246,-0.008649806600924625,0.011166605332059376,0,1,0,0.9983404840929329,20.544666051864624
257,mc_0257,5.0,1.0,4.074414596475892,20261082,17.043204459850088,17.043204459850088,0.0,True,100,2386,12,5,107,41,2345,0,0,107,0,2345,0.916958599525876,0.9171988644728453,0.8344035535260212,7,7,True,False,False,1,1,101,4,2382,9,2,103,5,2377,0.9955638761652201,0.9167351492323265,0.9123389857070989,8,8,True,True,True,0.07860527663934413,-0.00046371524051880275,0.07793543218107768,1,1,1,0.9983809600906662,20.58486819267273
258,mc_0258,5.0,1.0,4.679380803385436,20261083,17.023194609192984,17.023194609192984,0.0,True,101,2414,10,3,105,49,2365,1,0,105,0,2365,0.9226647882513661,0.8997321744760155,0.8234669945414225,7,7,True,False,False,2,1,102,18,2396,10,3,107,9,2387,0.941374231557377,0.8869854304792715,0.832532559370309,8,7,True,True,False,0.018709443306010876,-0.012746743996744025,0.009065564828886541,0,1,0,0.9986238160770663,20.242618799209595
259,mc_0259,5.0,1.0,1.3819833272713993,20261084,17.027820392426293,17.027820392426293,0.0,True,102,2405,10,2,105,19,2386,0,0,105,0,2386,0.9301784494535519,0.8838636417810831,0.8204916245439342,7,7,True,False,False,1,1,103,11,2394,11,3,108,10,2384,0.9420572916666667,0.8912813266802859,0.8341930943167944,8,7,True,True,False,0.01187884221311486,0.007417684899202803,0.013701469772860242,0,1,0,0.998947624058933,20.31421208381653
260,mc_0260,5.0,1.0,4.984242992576499,20261085,17.018295368341942,17.018295368341942,0.0,True,97,2397,12,6,105,66,2331,1,0,105,0,2331,0.8733528616458615,0.9069468434673059,0.7899243820630539,7,6,True,False,False,1,1,98,16,2381,10,4,103,25,2356,0.9506880733944953,0.9097559486847338,0.8627567435972934,8,7,True,True,True,0.07733521174863389,0.002809105217427832,0.07283236153423944,1,1,1,0.9980166761110661,20.625380039215088
261,mc_0261,5.0,1.0,2.2281106108765547,20261086,17.018295368341942,17.018295368341942,0.0,True,99,2434,13,5,107,73,2361,0,0,107,0,2361,0.9187585382513661,0.9023445629742655,0.8234462893100238,7,7,True,False,False,1,1,100,7,2427,12,4,107,25,2402,0.9407552083333333,0.892382818924059,0.8381547909810778,8,7,True,True,False,0.02199667008196715,-0.009961744050206445,0.014708501671053975,0,1,0,0.9983404840929329,20.749312162399292
262,mc_0262,5.0,1.0,0.5356645525906149,20261087,17.027820392426293,17.027820392426293,0.0,True,102,2405,12,5,110,77,2328,1,0,110,0,2328,0.8740337676091643,0.9351089489076908,0.8105028485849275,7,6,True,False,False,2,1,103,18,2387,9,2,106,21,2366,0.9539091091392189,0.9327756809456133,0.8867568700380258,8,7,True,True,True,0.0798753415300546,-0.0023332679620775565,0.07625402145309834,1,1,1,0.9978952481178661,21.464533805847168
263,mc_0263,5.0,1.0,2.910416721391355,20261088,17.027820392426293,17.027820392426293,0.0,True,99,2498,11,4,106,116,2382,1,0,106,0,2382,0.9194095799180328,0.8505557052959878,0.7830376444930981,7,7,True,False,False,2,1,100,67,2431,11,4,106,43,2388,0.9284601263661202,0.8511669345965085,0.7905161370203871,8,7,True,True,False,0.009050546448087338,0.0006112293005207103,0.007478492527289049,0,1,0,0.9980571521087995,20.867383003234863
264,mc_0264,5.0,1.0,5.588953455717377,20261089,17.027820392426293,17.027820392426293,0.0,True,98,2474,14,5,108,95,2379,2,0,108,0,2379,0.9213627049180328,0.8871644474304541,0.8275212440038432,7,7,True,False,False,3,1,101,62,2412,11,4,107,55,2357,0.94140625,0.9021685525207661,0.8541479633008129,8,7,True,True,False,0.02004354508196715,0.015004105090312025,0.026626719296969692,0,1,0,0.9970047761677325,21.65946078300476
265,mc_0265,5.0,1.0,0.49757819694334154,20261090,17.034607659265447,17.034607659265447,0.0,True,102,2434,10,3,105,85,2349,1,0,105,0,2349,0.9226647882513661,0.9264352075825699,0.8513217580509242,7,7,True,False,False,2,1,104,36,2398,8,1,105,2,2396,0.9869471482240437,0.9178277182420729,0.9069571189690212,8,8,True,True,True,0.06428235997267762,-0.008607489340497043,0.055635360918096954,1,1,1,0.9973690601473326,21.986813068389893
266,mc_0266,5.0,1.0,1.8967695129005364,20261091,17.015217647302862,17.015217647302862,0.0,True,99,2443,13,6,107,80,2363,1,0,107,0,2363,0.9194095799180328,0.9091432618614509,0.8400824448479638,7,7,True,False,False,2,1,100,28,2415,10,3,103,21,2394,0.998014856557377,0.9163534114968674,0.9146233408397869,8,8,True,True,True,0.07860527663934413,0.007210149635416552,0.07454089599182312,1,1,1,0.9982595320974662,22.735543966293335
267,mc_0267,5.0,1.0,4.558535072400729,20261092,17.048388529750305,17.048388529750305,0.0,True,101,2428,14,5,108,63,2365,0,0,108,0,2365,0.9194095799180328,0.9059009760339585,0.8271912734428964,7,7,True,False,False,1,1,102,12,2416,13,4,108,23,2393,0.9407231898907104,0.9054301239072191,0.848732093916969,8,7,True,True,False,0.021313609972677505,-0.00047085212673936283,0.021540820474072575,0,1,0,0.9986238160770663,23.630895853042603
268,mc_0268,5.0,1.0,6.24633848520236,20261093,17.048388529750305,17.048388529750305,0.0,True,102,2409,14,4,109,44,2365,2,0,109,0,2365,0.8982535163495764,0.8769391073636357,0.7820853449995336,7,6,True,False,False,3,1,103,2,2407,14,4,109,26,2381,0.9120854835626911,0.8769391073636357,0.7959173122126484,8,6,True,True,False,0.013831967213114749,0.0,0.013831967213114749,0,1,0,0.9991904800453331,25.469230890274048
269,mc_0269,5.0,1.0,0.5519883765806916,20261094,17.048388529750305,17.048388529750305,0.0,True,99,2383,12,5,107,44,2339,1,0,107,0,2339,0.916958599525876,0.9180579906550725,0.8350165901809485,7,7,True,False,False,2,1,100,2,2381,11,4,107,13,2368,0.9389552696078431,0.9168443984220629,0.8566691864287188,8,7,True,True,False,0.02199667008196715,-0.0012135922330096527,0.021652596247770273,0,1,0,0.9987452440702663,25.861341953277588
270,mc_0270,5.0,1.0,0.3619514122453119,20261095,17.043204459850088,17.043204459850088,0.0,True,102,2424,11,3,105,42,2382,1,0,105,0,2382,0.9226647882513661,0.8592397068514217,0.7832206164441288,7,7,True,False,False,2,1,103,11,2413,9,1,104,2,2411,0.9986979166666667,0.8549772020089503,0.8537655600427743,8,8,True,True,True,0.07603312841530063,-0.004262504842471371,0.0705449435986455,1,1,1,0.9983404840929329,25.300370931625366
271,mc_0271,5.0,1.0,3.0749148035442424,20261096,17.038393596540367,17.038393596540367,0.0,True,101,2397,10,4,105,52,2345,0,0,105,0,2345,0.9202138078592093,0.925436699872593,0.8497738658516459,7,7,True,False,False,1,1,102,6,2391,10,4,108,18,2373,0.9389552696078431,0.9225791570794399,0.864084220643327,8,7,True,True,False,0.018741461748633892,-0.0028575427931530895,0.01431035479168108,0,1,0,0.9984619120861329,25.44737195968628
272,mc_0272,5.0,1.0,2.2166594847942127,20261097,17.044626788618505,17.044626788618505,0.0,True,100,2432,11,4,106,51,2381,0,0,106,0,2381,0.9213627049180328,0.8179876920006137,0.7492091549889631,7,7,True,False,False,1,1,101,16,2416,9,3,106,17,2399,0.9407231898907104,0.8252677550154224,0.7694022282905539,8,7,True,True,False,0.019360484972677505,0.007280063014808658,0.020193073301590814,0,1,0,0.998947624058933,24.780672073364258
273,mc_0273,5.0,1.0,4.552861454941814,20261098,17.015217647302862,17.015217647302862,0.0,True,100,2446,13,6,108,132,2314,0,0,108,0,2314,0.8913080601092896,0.9202784744234074,0.8187817760913675,7,6,True,False,False,1,1,101,42,2404,9,3,105,30,2374,0.9381510416666667,0.885283778567873,0.8394544239088453,8,7,True,True,False,0.046842981557377095,-0.034994695855534386,0.020672647817477796,1,1,0,0.9958714482311989,24.492645978927612
274,mc_0274,5.0,1.0,1.9914909288446903,20261099,17.027820392426293,17.027820392426293,0.0,True,102,2396,10,4,106,34,2362,0,0,106,0,2362,0.8939950634807239,0.9066208781395827,0.8174727049020898,7,6,True,False,False,1,1,103,6,2390,10,4,108,26,2364,0.9100042847921993,0.9077981422021332,0.8340749752144228,8,6,True,True,False,0.01600922131147542,0.001177264062550476,0.016602270312332967,0,1,0,0.9987857200679997,23.35624623298645
275,mc_0275,5.0,1.0,3.6262064430346657,20261100,17.015217647302862,17.015217647302862,0.0,True,100,2440,13,5,108,54,2386,0,0,108,0,2386,0.918911724525876,0.875802775296507,0.8081069198321701,7,7,True,False,False,1,1,101,27,2413,11,4,106,28,2385,0.9375891493892639,0.8824347604488036,0.8279829961197096,8,7,True,True,False,0.01867742486338786,0.006631985152296682,0.019876076287539512,0,1,0,0.9981785801019996,22.86192512512207
276,mc_0276,5.0,1.0,4.35435426628438,20261101,17.048388529750305,17.048388529750305,0.0,True,101,2389,9,2,104,26,2363,1,0,104,0,2363,0.9301784494535519,0.9167479749278529,0.8491862669203543,7,7,True,False,False,2,1,102,5,2384,10,3,107,8,2376,0.9420572916666667,0.9161883704318404,0.8615500431383062,8,7,True,True,False,0.01187884221311486,-0.0005596044960124447,0.012363776217951927,0,1,0,0.9989881000566664,20.046746253967285
277,mc_0277,5.0,1.0,2.7791881454248153,20261102,17.023194609192984,17.023194609192984,0.0,True,99,2483,13,5,108,83,2400,0,0,108,0,2400,0.8946140867047676,0.8299358386303278,0.7493474850778297,7,6,True,False,False,1,1,100,54,2429,11,4,106,31,2398,0.9107513817867349,0.824721762212654,0.7531378239857914,8,6,True,True,False,0.016137295081967262,-0.005214076417673796,0.0037903389079617655,0,1,0,0.9982190560997328,20.664806842803955
278,mc_0278,5.0,1.0,4.556817567575187,20261103,17.023194609192984,17.023194609192984,0.0,True,102,2449,10,3,106,51,2398,0,0,106,0,2398,0.9226647882513661,0.8518452000581667,0.7771072747351319,7,7,True,False,False,1,1,103,19,2430,10,3,108,14,2416,0.9393890881147541,0.8438990801896654,0.7906432579251845,8,7,True,True,False,0.01672429986338797,-0.007946119868501245,0.01353598319005267,0,1,0,0.9984619120861329,20.420647859573364
279,mc_0279,5.0,1.0,0.5185288846848315,20261104,17.043204459850088,17.043204459850088,0.0,True,98,2420,11,3,105,30,2390,0,0,105,0,2390,0.9288763661202186,0.8440328069885583,0.7907270126087069,7,7,True,False,False,1,1,99,35,2385,10,3,104,17,2368,0.9401041666666667,0.8642144275573416,0.8117245832011408,8,7,True,True,False,0.011227800546448119,0.020181620568783254,0.0209975705924339,0,1,0,0.9978952481178661,20.071805953979492
280,mc_0280,5.0,1.0,3.202425163959102,20261105,17.00923872699247,17.00923872699247,0.0,True,99,2492,15,4,106,93,2399,1,0,106,0,2399,0.9172643442622951,0.8046571533499359,0.7403555922411666,7,7,True,False,False,2,1,100,46,2446,13,3,105,22,2424,0.9407231898907104,0.8043318274204332,0.7544238017592655,8,7,True,True,False,0.02345884562841527,-0.00032532592950274,0.01406820951809884,0,1,0,0.9977738201246661,20.372420072555542
