av_error_sigma_mag,n_runs,mean_delta_jaccard,bootstrap_95_ci_low,bootstrap_95_ci_high,n_bootstrap,bootstrap_seed
0.025,1000,0.00419556216487747,0.0032050107889086982,0.005188562526263319,20000,12345
0.05,1000,0.0055603763762113075,0.004303641739201964,0.006828024980110375,20000,12345
0.1,1000,0.0025167568025420417,0.0009869674371443323,0.004023798707618743,20000,12345
0.2,1000,-0.008102088213435235,-0.010152840702004843,-0.0060774598757750275,20000,12345
