velocity_error_sigma_kms,mean_delta_jaccard,bootstrap_95_ci_low,bootstrap_95_ci_high,n_pairs,bootstrap_resamples,bootstrap_seed
0.25,-0.0004688805579552534,-0.0005928999100568894,-0.00034338845540277417,1000,20000,12345
0.5,-0.0022591585200271024,-0.0026086547243961353,-0.0019781487698843055,1000,20000,12345
1.0,-0.03019704521121005,-0.03288408608362408,-0.027549420926984602,1000,20000,12345
2.0,-0.1198521168032096,-0.12074923644926437,-0.1188616048534574,1000,20000,12345
